,1,2,3,4,5,6,7,8,9,normalized,total_demand,total_supply
"(('V_CO', 'night'), ('V_MO3', 'night'), ('V_MO4', 'morning'))",0.9025,0.7478,0.3278,0.7048,0.6984,0.2413,103646.2131,16956.4961,0.7121,8.986035664267876,24.041290283203125,39.03675842285156
"(('V_CO', 'night'), ('V_MO3', 'morning'), ('V_MO4', 'night'))",0.9019,0.7464,0.329,0.7046,0.6957,0.2427,104316.1628,16965.1953,0.7113,8.989645312825292,24.034278869628906,38.946659088134766
"(('V_CO', 'night'), ('V_MO3', 'morning'), ('V_MO4', 'morning'))",0.8983,0.721,0.3216,0.6986,0.6906,0.2349,111478.1552,16954.0469,0.7035,8.967385813387885,23.829458236694336,39.05961227416992
"(('V_CO', 'night'), ('V_MO4', 'night'), ('V_MO4', 'morning'))",0.9025,0.751,0.3284,0.7038,0.6972,0.2416,103074.8333,16947.875,0.7107,8.987840488546585,24.00605010986328,38.99573516845703
"(('V_CO', 'morning'), ('V_MO1', 'night'), ('V_MO1', 'morning'))",0.9105,0.7725,0.3167,0.7324,0.736,0.3353,100799.5357,16890.6543,0.7417,8.952646415111763,24.98212432861328,40.87810516357422
"(('V_CO', 'morning'), ('V_MO1', 'night'), ('V_MO2', 'night'))",0.8882,0.6795,0.3201,0.6844,0.7226,0.2895,133331.1601,16896.6191,0.685,8.962873752691113,23.344717025756836,40.09346008300781
"(('V_CO', 'morning'), ('V_MO1', 'night'), ('V_MO2', 'morning'))",0.8823,0.4368,0.3092,0.7023,0.6855,0.1113,211494.2874,17130.4453,0.7186,8.930086111627904,23.956180572509766,38.306434631347656
"(('V_CO', 'morning'), ('V_MO1', 'night'), ('V_MO3', 'night'))",0.9091,0.7696,0.3118,0.7291,0.7325,0.329,101646.1345,16902.5879,0.7349,8.937907016835641,24.868541717529297,40.93548583984375
"(('V_CO', 'morning'), ('V_MO1', 'night'), ('V_MO3', 'morning'))",0.9093,0.7728,0.3156,0.7283,0.7342,0.3346,100849.708,16900.4746,0.7358,8.949337570600797,24.841270446777344,40.880828857421875
"(('V_CO', 'morning'), ('V_MO1', 'night'), ('V_MO4', 'night'))",0.9093,0.7742,0.3118,0.7308,0.7324,0.3357,100103.8529,16904.0723,0.7395,8.937907016835641,24.92660140991211,40.929840087890625
"(('V_CO', 'morning'), ('V_MO1', 'night'), ('V_MO4', 'morning'))",0.9104,0.7735,0.318,0.7301,0.7368,0.3346,100674.6892,16911.9766,0.739,8.956556867715634,24.903017044067383,40.829261779785156
"(('V_CO', 'morning'), ('V_MO1', 'morning'), ('V_MO2', 'night'))",0.8979,0.6805,0.3295,0.702,0.7362,0.2902,133420.5477,16896.2852,0.7132,8.99114933305755,23.94562530517578,40.07033157348633
"(('V_CO', 'morning'), ('V_MO1', 'morning'), ('V_MO2', 'morning'))",0.8815,0.4674,0.307,0.7023,0.6828,0.1162,203884.5297,17133.957,0.7177,8.923468422605971,23.956878662109375,38.3261604309082
"(('V_CO', 'morning'), ('V_MO1', 'morning'), ('V_MO3', 'night'))",0.9092,0.7732,0.315,0.7299,0.7351,0.3353,100770.4791,16912.748,0.7378,8.94753274632209,24.896961212158203,40.91539001464844
"(('V_CO', 'morning'), ('V_MO1', 'morning'), ('V_MO3', 'morning'))",0.9072,0.7665,0.3209,0.7227,0.7366,0.3216,101779.39,16929.2637,0.7296,8.965280185062724,24.65179443359375,40.740577697753906
"(('V_CO', 'morning'), ('V_MO1', 'morning'), ('V_MO4', 'night'))",0.9102,0.7739,0.3148,0.7295,0.735,0.336,99913.1335,16892.9336,0.7379,8.946931138229186,24.882537841796875,40.87480163574219
