,1,2,3,4,5,6,7,8,9,normalized,total_demand,total_supply
"(('CV8', 'night'), ('CV8', 'morning'), ('CV3', 'morning'))",0.9223,0.6911,0.3283,0.7435,0.765,0.4797,128894.5161,16733.1055,0.7573,8.989101115486745,25.36132049560547,42.259490966796875
"(('CV8', 'night'), ('CV8', 'morning'), ('CV12', 'night'))",0.9283,0.7439,0.3316,0.7516,0.7673,0.3219,111440.7691,16771.5117,0.7694,8.968804451138704,25.635848999023438,42.242530822753906
"(('CV8', 'night'), ('CV8', 'morning'), ('CV12', 'morning'))",0.9239,0.7397,0.3369,0.7471,0.772,0.5019,112974.5186,16679.3945,0.7612,8.990343769516272,25.48326301574707,42.16033172607422
"(('CV8', 'night'), ('CV3', 'night'), ('CV3', 'morning'))",0.9264,0.7446,0.3304,0.7505,0.7693,0.5019,111060.5164,16744.5605,0.7665,8.9949847187314,25.598892211914062,42.26744842529297
"(('CV8', 'night'), ('CV3', 'night'), ('CV12', 'night'))",0.9233,0.7168,0.3295,0.739,0.7649,0.3082,121399.1586,16778.2539,0.7555,8.993386113832155,25.208694458007812,42.276100158691406
"(('CV8', 'night'), ('CV3', 'night'), ('CV12', 'morning'))",0.9235,0.7594,0.3397,0.7469,0.7741,0.5167,103221.9699,16673.1992,0.764,8.823505204330237,25.476966857910156,42.11116027832031
"(('CV8', 'night'), ('CV3', 'morning'), ('CV12', 'night'))",0.9226,0.633,0.328,0.7444,0.7619,0.2853,150904.4903,16761.1621,0.763,8.988863870521842,25.390066146850586,42.23666763305664
"(('CV8', 'night'), ('CV3', 'morning'), ('CV12', 'morning'))",0.9186,0.6573,0.3384,0.743,0.7692,0.4745,140454.1431,16591.375,0.7616,8.990868382038173,25.343141555786133,42.00141525268555
"(('CV8', 'night'), ('CV12', 'night'), ('CV12', 'morning'))",0.9264,0.7446,0.3304,0.7505,0.7693,0.5019,111060.5164,16744.5605,0.7665,8.9949847187314,25.598892211914062,42.26744842529297
"(('CV8', 'morning'), ('CV3', 'night'), ('CV3', 'morning'))",0.9247,0.745,0.3292,0.7497,0.7671,0.5019,110941.0135,16727.4902,0.7658,8.989736282642152,25.571887969970703,42.263587951660156
"(('CV8', 'morning'), ('CV3', 'night'), ('CV12', 'night'))",0.9221,0.7172,0.3286,0.7371,0.7631,0.3103,121402.792,16778.8047,0.7528,8.990672767845968,25.14401626586914,42.27920150756836
"(('CV8', 'morning'), ('CV3', 'night'), ('CV12', 'morning'))",0.9264,0.7598,0.3428,0.7502,0.7785,0.5167,103257.5292,16661.9004,0.7682,8.794595254422752,25.590789794921875,42.09328842163086
"(('CV8', 'morning'), ('CV3', 'morning'), ('CV12', 'night'))",0.9238,0.633,0.3303,0.7479,0.7645,0.2871,150878.2257,16750.3516,0.7693,8.983289551839027,25.511205673217773,42.212745666503906
"(('CV8', 'morning'), ('CV3', 'morning'), ('CV12', 'morning'))",0.9211,0.6573,0.3413,0.7476,0.7729,0.4745,140427.452,16590.0352,0.7679,8.974566670061236,25.50075912475586,41.99269485473633
"(('CV8', 'morning'), ('CV12', 'night'), ('CV12', 'morning'))",0.9247,0.745,0.3292,0.7497,0.7671,0.5019,110941.0135,16727.4902,0.7658,8.989736282642152,25.571887969970703,42.263587951660156
"(('CV3', 'night'), ('CV3', 'morning'), ('CV12', 'night'))",0.9283,0.7439,0.3316,0.7516,0.7673,0.3219,111440.7691,16771.5117,0.7694,8.968804451138704,25.635848999023438,42.242530822753906
"(('CV3', 'night'), ('CV3', 'morning'), ('CV12', 'morning'))",0.9239,0.7397,0.3369,0.7471,0.772,0.5019,112974.5186,16679.3945,0.7612,8.990343769516272,25.48326301574707,42.16033172607422
"(('CV3', 'night'), ('CV12', 'night'), ('CV12', 'morning'))",0.9184,0.7605,0.3254,0.7377,0.7605,0.5171,103208.5229,16729.3047,0.7515,8.817582312063779,25.164409637451172,42.23023223876953
"(('CV3', 'morning'), ('CV12', 'night'), ('CV12', 'morning'))",0.9223,0.6911,0.3283,0.7435,0.765,0.4797,128894.5161,16733.1055,0.7573,8.989101115486745,25.36132049560547,42.259490966796875
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV8', 'night'), ('CV8', 'morning'))",0.9307,0.7467,0.3356,0.7551,0.7758,0.5019,109742.3487,16743.7441,0.772,8.869349077385612,25.756986618041992,42.255828857421875
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV8', 'night'), ('CV3', 'night'))",0.9194,0.7594,0.326,0.7399,0.7617,0.5167,103247.0726,16729.2812,0.7542,8.82485321550391,25.237083435058594,42.2296257019043
"(('V_TR', 'night'), ('V_TR', 'morning'), ('CV8', 'night'), ('CV3', 'morning'))",0.9199,0.6559,0.3281,0.7388,0.764,0.4699,140953.3299,16721.6934,0.7539,8.98781659745596,25.201766967773438,42.24038314819336
