,"('V_CO', 'day')","('V_CO', 'night')","('V_PE1', 'day')","('V_PE1', 'night')","('V_PE2', 'day')","('V_PE2', 'night')","('CV3', 'day')","('CV3', 'night')",1,2,3,4,5,6,7,8,9
75,0,1,0,0,1,0,1,1,0.4845,0.1423,0.5691,0.266,0.2771,0.0747,281046.7176,270.973,-0.0079
76,0,1,0,0,1,1,0,0,0.482,0.0838,0.5731,0.2715,0.2814,0.0736,299997.503,324.3859,-0.006
77,0,1,0,0,1,1,0,1,0.4668,0.0951,0.5716,0.2584,0.2772,0.0747,293749.2651,267.5179,-0.0298
78,0,1,0,0,1,1,1,0,0.4708,0.0859,0.5748,0.256,0.2763,0.0757,296932.5938,273.0724,-0.0224
79,0,1,0,0,1,1,1,1,0.4799,0.0867,0.5729,0.2583,0.2758,0.074,300921.205,267.5172,-0.0107
80,0,1,0,1,0,0,0,0,0.4761,0.1141,0.571,0.2632,0.278,0.0743,290797.7174,255.7166,-0.001
81,0,1,0,1,0,0,0,1,0.4693,0.1088,0.5651,0.2581,0.2744,0.0736,294142.0375,310.2783,-0.0123
82,0,1,0,1,0,0,1,0,0.48,0.1018,0.5773,0.2645,0.2827,0.074,293725.6868,251.7276,-0.0032
83,0,1,0,1,0,0,1,1,0.4833,0.1398,0.5718,0.2647,0.2791,0.0771,282124.2776,318.3224,0.0081
84,0,1,0,1,0,1,0,0,0.4744,0.13,0.567,0.2653,0.2762,0.074,288127.1478,244.7086,-0.007
85,0,1,0,1,0,1,0,1,0.4711,0.0831,0.5703,0.2647,0.278,0.0736,301470.4671,250.5716,-0.0023
86,0,1,0,1,0,1,1,0,0.4752,0.1279,0.567,0.2672,0.2783,0.0736,286636.4155,244.7121,-0.0154
87,0,1,0,1,0,1,1,1,0.4827,0.0895,0.5727,0.2676,0.2834,0.0736,296809.3473,256.3539,0.0145
88,0,1,0,1,1,0,0,0,0.478,0.1215,0.5764,0.26,0.2815,0.0757,286226.9691,251.7279,-0.0061
89,0,1,0,1,1,0,0,1,0.4814,0.0785,0.57,0.2651,0.2797,0.0729,303044.5429,269.3021,0.0065
90,0,1,0,1,1,0,1,0,0.4762,0.0803,0.5699,0.2587,0.2754,0.0729,302528.5081,231.1249,-0.0104
91,0,1,0,1,1,0,1,1,0.4852,0.0937,0.5709,0.2605,0.2783,0.0733,299987.196,288.6844,-0.0079
92,0,1,0,1,1,1,0,0,0.4698,0.1067,0.5718,0.2602,0.2779,0.0736,294458.4354,250.2914,-0.013
93,0,1,0,1,1,1,0,1,0.4775,0.1219,0.5706,0.2631,0.2782,0.0747,286810.2188,265.6052,0.0016
94,0,1,0,1,1,1,1,0,0.4774,0.0835,0.5693,0.2575,0.2768,0.0733,302010.5604,244.7138,-0.0104
95,0,1,0,1,1,1,1,1,0.4882,0.0902,0.5696,0.2597,0.2772,0.0736,298254.0289,250.5737,-0.0184
96,0,1,1,0,0,0,0,0,0.4753,0.0859,0.5668,0.2632,0.2781,0.0736,300752.0362,372.4725,-0.0109
97,0,1,1,0,0,0,0,1,0.476,0.0789,0.5666,0.2645,0.2776,0.0729,301002.0189,308.9678,-0.0144
98,0,1,1,0,0,0,1,0,0.4841,0.1057,0.569,0.263,0.2791,0.0736,293483.2715,420.3253,-0.0048
99,0,1,1,0,0,0,1,1,0.4793,0.1159,0.5693,0.2639,0.279,0.0743,291726.2398,276.9842,-0.0103
100,0,1,1,0,0,1,0,0,0.4801,0.1092,0.5721,0.2684,0.28,0.0761,289743.582,286.5022,-0.005
101,0,1,1,0,0,1,0,1,0.473,0.0965,0.5696,0.2639,0.2791,0.0736,295947.6319,324.4811,-0.0081
102,0,1,1,0,0,1,1,0,0.4774,0.1522,0.5721,0.2628,0.2771,0.0768,278122.7551,282.6515,-0.0097
103,0,1,1,0,0,1,1,1,0.4797,0.1173,0.5725,0.2668,0.2797,0.0754,288301.6897,267.566,-0.0078
104,0,1,1,0,1,0,0,0,0.471,0.0888,0.5634,0.2605,0.2776,0.0736,299409.4452,381.9651,-0.015
105,0,1,1,0,1,0,0,1,0.4687,0.1303,0.5727,0.2619,0.2786,0.075,285043.5861,315.0242,-0.0248
106,0,1,1,0,1,0,1,0,0.4787,0.1265,0.5706,0.2563,0.2767,0.074,286747.0839,372.5052,-0.0165
107,0,1,1,0,1,0,1,1,0.4895,0.0965,0.5778,0.2648,0.2791,0.0736,294881.213,276.6138,-0.014
108,0,1,1,0,1,1,0,0,0.4669,0.1184,0.5731,0.2589,0.2767,0.0757,285940.613,263.6792,-0.0191
109,0,1,1,0,1,1,0,1,0.4748,0.0807,0.5686,0.2609,0.2791,0.0733,302455.4747,267.578,-0.0009
110,0,1,1,0,1,1,1,0,0.4798,0.1511,0.577,0.2563,0.2774,0.0768,276447.3226,263.6681,-0.0239
111,0,1,1,0,1,1,1,1,0.4838,0.0948,0.5737,0.2599,0.2762,0.074,296024.9134,267.5826,-0.0181
112,0,1,1,1,0,0,0,0,0.4768,0.1067,0.5731,0.2579,0.2804,0.074,292323.7788,251.7271,-0.0099
113,0,1,1,1,0,0,0,1,0.4817,0.0835,0.5666,0.263,0.2791,0.0736,299988.6472,310.4869,0.0049
114,0,1,1,1,0,0,1,0,0.486,0.1539,0.5835,0.2737,0.286,0.0764,275931.9155,251.7434,-0.0062
115,0,1,1,1,0,0,1,1,0.4749,0.0891,0.5686,0.2602,0.2774,0.0736,298396.5979,250.3705,-0.0048
116,0,1,1,1,0,1,0,0,0.4706,0.093,0.5646,0.2591,0.2738,0.0754,295421.6705,263.7256,-0.0129
117,0,1,1,1,0,1,0,1,0.4776,0.1166,0.5749,0.2694,0.2808,0.074,286875.8032,275.3686,0.0016
118,0,1,1,1,0,1,1,0,0.4846,0.1353,0.5723,0.2673,0.2786,0.0743,281719.7782,244.7491,0.0069
119,0,1,1,1,0,1,1,1,0.4734,0.0849,0.5694,0.2497,0.2753,0.0736,298284.696,256.3889,-0.0123
120,0,1,1,1,1,0,0,0,0.4744,0.08,0.5718,0.2669,0.2787,0.0733,302787.1947,236.8234,-0.0095
121,0,1,1,1,1,0,0,1,0.4829,0.1155,0.5734,0.2701,0.281,0.0757,287588.0476,294.3824,0.0124
122,0,1,1,1,1,0,1,0,0.4801,0.1501,0.5703,0.2628,0.2783,0.0771,275941.0459,231.2102,-0.0181
123,0,1,1,1,1,0,1,1,0.4797,0.1215,0.5735,0.2617,0.2775,0.0736,292918.4394,250.4619,-0.0152
124,0,1,1,1,1,1,0,0,0.4701,0.1363,0.5663,0.2566,0.2748,0.0754,283693.2647,244.76,-0.0184
125,0,1,1,1,1,1,0,1,0.4838,0.1279,0.5725,0.2658,0.2794,0.0768,283119.9728,294.4061,0.0083
126,0,1,1,1,1,1,1,0,0.4789,0.142,0.5675,0.2588,0.274,0.0757,281053.1387,244.7605,-0.025
127,0,1,1,1,1,1,1,1,0.4862,0.1638,0.5747,0.262,0.2781,0.08,271655.7061,256.3976,-0.0061
128,1,0,0,0,0,0,0,0,0.5605,0.1134,0.4963,0.367,0.3236,0.0976,286747.3301,2679.6584,0.2782
129,1,0,0,0,0,0,0,1,0.5325,0.1367,0.4707,0.3452,0.295,0.0736,282771.1573,169.8342,0.2507
130,1,0,0,0,0,0,1,0,0.543,0.1303,0.4734,0.3567,0.3028,0.0729,286478.0892,352.7728,0.2783
131,1,0,0,0,0,0,1,1,0.5417,0.125,0.4754,0.3553,0.2967,0.0726,286083.4468,240.3333,0.2451
132,1,0,0,0,0,1,0,0,0.5298,0.1363,0.4705,0.3477,0.2965,0.0733,286131.2649,152.339,0.2807
133,1,0,0,0,0,1,0,1,0.534,0.1254,0.4694,0.3488,0.2937,0.0733,287596.8363,171.9079,0.2673
134,1,0,0,0,0,1,1,0,0.5491,0.1346,0.4751,0.3611,0.2977,0.0729,282636.5392,170.4098,0.2576
135,1,0,0,0,0,1,1,1,0.5409,0.1148,0.478,0.3528,0.3003,0.0726,289186.2158,169.5688,0.2642
136,1,0,0,0,1,0,0,0,0.54,0.1215,0.4736,0.3561,0.3006,0.0726,287461.2168,294.3923,0.2814
137,1,0,0,0,1,0,0,1,0.5349,0.1131,0.4763,0.3506,0.2992,0.0726,291395.2845,195.3505,0.2817
138,1,0,0,0,1,0,1,0,0.5364,0.1021,0.4699,0.3481,0.2953,0.0729,293403.7984,286.2325,0.2512
139,1,0,0,0,1,0,1,1,0.5357,0.1423,0.4709,0.3458,0.2963,0.0729,280425.4332,170.1156,0.2622
140,1,0,0,0,1,1,0,0,0.5287,0.1374,0.468,0.3434,0.2919,0.0733,280838.2887,158.1142,0.2458
141,1,0,0,0,1,1,0,1,0.5408,0.118,0.4757,0.357,0.2994,0.0747,289023.9172,213.972,0.2683
142,1,0,0,0,1,1,1,0,0.5396,0.1159,0.4799,0.3566,0.2995,0.0747,287243.1089,164.127,0.2697
143,1,0,0,0,1,1,1,1,0.546,0.1328,0.4773,0.3551,0.3006,0.0743,282867.7399,181.4406,0.2705
144,1,0,0,1,0,0,0,0,0.5428,0.1289,0.473,0.3646,0.299,0.0733,286775.6983,158.9584,0.2888
145,1,0,0,1,0,0,0,1,0.5354,0.142,0.4704,0.3501,0.2956,0.074,281051.4506,175.7318,0.255
146,1,0,0,1,0,0,1,0,0.5351,0.1346,0.4679,0.3519,0.2934,0.0736,282976.6114,196.8381,0.2519
147,1,0,0,1,0,0,1,1,0.5381,0.1402,0.474,0.3461,0.2962,0.0729,281573.5441,169.3703,0.244
148,1,0,0,1,0,1,0,0,0.5271,0.1029,0.466,0.3464,0.2913,0.0726,296638.3545,172.3541,0.2674
149,1,0,0,1,0,1,0,1,0.5358,0.143,0.47,0.3499,0.2948,0.0747,280481.7864,178.2993,0.2578
150,1,0,0,1,0,1,1,0,0.5336,0.1134,0.4702,0.353,0.2912,0.0726,291480.7582,185.6647,0.2623
151,1,0,0,1,0,1,1,1,0.5401,0.0789,0.4733,0.3482,0.3014,0.0719,302985.6299,196.5191,0.2789
152,1,0,0,1,1,0,0,0,0.5421,0.1286,0.478,0.3539,0.3011,0.0747,282848.1209,194.1798,0.2739
153,1,0,0,1,1,0,0,1,0.5502,0.1275,0.4826,0.358,0.3053,0.0747,284651.7323,214.7872,0.273
154,1,0,0,1,1,0,1,0,0.5327,0.1282,0.4688,0.3484,0.292,0.0743,285687.1375,140.9729,0.2681
155,1,0,0,1,1,0,1,1,0.5527,0.1589,0.4827,0.3585,0.3058,0.0771,272714.2974,181.222,0.2873
156,1,0,0,1,1,1,0,0,0.5411,0.0796,0.4792,0.3532,0.3013,0.0712,301143.203,219.9664,0.276
157,1,0,0,1,1,1,0,1,0.5312,0.131,0.4709,0.3419,0.291,0.075,284314.6666,182.9005,0.2364
158,1,0,0,1,1,1,1,0,0.5357,0.1057,0.4782,0.3461,0.3015,0.0726,293831.1699,200.3868,0.2603
159,1,0,0,1,1,1,1,1,0.5387,0.0775,0.4731,0.3553,0.296,0.0719,303869.8421,165.1011,0.267
160,1,0,1,0,0,0,0,0,0.5438,0.1032,0.4771,0.3559,0.3033,0.0719,294390.5868,309.3205,0.3069
161,1,0,1,0,0,0,0,1,0.5382,0.0761,0.4773,0.3463,0.3004,0.0719,304150.424,171.1638,0.2791
162,1,0,1,0,0,0,1,0,0.5352,0.0803,0.4681,0.3455,0.2968,0.0719,300638.065,282.4275,0.2516
163,1,0,1,0,0,0,1,1,0.5343,0.0888,0.469,0.3469,0.2917,0.0726,298547.9175,147.3949,0.2619
164,1,0,1,0,0,1,0,0,0.5364,0.0807,0.4739,0.3499,0.2972,0.0712,300783.8307,152.6654,0.2583
165,1,0,1,0,0,1,0,1,0.5447,0.1338,0.482,0.3611,0.3011,0.0747,283261.1948,185.5652,0.2911
166,1,0,1,0,0,1,1,0,0.5345,0.1335,0.4744,0.3433,0.2976,0.0733,283916.058,182.6624,0.2666
167,1,0,1,0,0,1,1,1,0.5414,0.0948,0.4689,0.3413,0.2959,0.0726,295399.5956,182.4468,0.2447
