,"('V_CO', 'day')","('V_CO', 'night')","('V_PE1', 'day')","('V_PE1', 'night')","('V_PE2', 'day')","('V_PE2', 'night')","('CV3', 'day')","('CV3', 'night')",1,2,3,4,5,6,7,8,9
77,0,1,0,0,1,1,0,1,0.9066,0.7055,0.3343,0.697,0.7353,0.4442,128262.252,15541.2441,0.7027
78,0,1,0,0,1,1,1,0,0.9033,0.714,0.3332,0.6895,0.731,0.4368,123206.9179,15538.6484,0.6938
79,0,1,0,0,1,1,1,1,0.9031,0.7207,0.3321,0.6912,0.7301,0.4392,121615.8489,15522.6572,0.6964
80,0,1,0,1,0,0,0,0,0.9003,0.6051,0.3438,0.6781,0.73,0.2353,160797.113,15316.7383,0.6974
81,0,1,0,1,0,0,0,1,0.9025,0.6495,0.3431,0.6827,0.7336,0.2818,143786.6587,15323.5518,0.7006
82,0,1,0,1,0,0,1,0,0.9051,0.6781,0.3348,0.6952,0.735,0.2772,138462.8864,15610.7012,0.7017
83,0,1,0,1,0,0,1,1,0.9049,0.6985,0.3343,0.6965,0.7352,0.3244,130335.7886,15609.2744,0.7023
84,0,1,0,1,0,1,0,0,0.8995,0.5195,0.3442,0.6778,0.732,0.2258,192390.1555,15326.8418,0.6977
85,0,1,0,1,0,1,0,1,0.8971,0.1951,0.34,0.6783,0.7271,0.1374,260786.0084,15315.9785,0.6977
86,0,1,0,1,0,1,1,0,0.9041,0.6823,0.3344,0.693,0.7351,0.3364,135498.3639,15616.7822,0.6983
87,0,1,0,1,0,1,1,1,0.9046,0.6974,0.3336,0.6955,0.7341,0.2892,131138.2933,15618.7295,0.7013
88,0,1,0,1,1,0,0,0,0.9046,0.6615,0.334,0.6942,0.7329,0.2198,138865.1565,15540.1299,0.7013
89,0,1,0,1,1,0,0,1,0.904,0.7013,0.3328,0.6951,0.7326,0.4403,128829.0833,15540.6182,0.7005
90,0,1,0,1,1,0,1,0,0.9027,0.7164,0.3337,0.6909,0.7312,0.4378,123234.1438,15538.5283,0.6957
