,"('CV1', 'day')","('CV1', 'night')","('CV6', 'day')","('CV6', 'night')","('CV12', 'day')","('CV12', 'night')","('V_TR', 'day')","('V_TR', 'night')",1,2,3,4,5,6,7,8,9
86,0,1,0,1,0,1,1,0,0.951,0.7105,0.2738,0.8108,0.842,0.2948,104931.2738,15711.9746,0.8346
87,0,1,0,1,0,1,1,1,0.9464,0.7108,0.2627,0.8011,0.8292,0.2941,104817.1327,15698.9609,0.8224
88,0,1,0,1,1,0,0,0,0.9568,0.7644,0.2818,0.829,0.8482,0.3265,92134.9269,15416.3604,0.8527
89,0,1,0,1,1,0,0,1,0.9531,0.7654,0.2781,0.8248,0.842,0.3308,91607.1146,15407.1064,0.8475
90,0,1,0,1,1,0,1,0,0.9497,0.8108,0.2762,0.806,0.8395,0.3868,81752.2214,15447.3242,0.8262
91,0,1,0,1,1,0,1,1,0.9475,0.8101,0.274,0.8042,0.8358,0.3868,81849.1368,15417.3936,0.8243
92,0,1,0,1,1,1,0,0,0.9558,0.8499,0.2734,0.823,0.846,0.6147,66462.3105,15669.9238,0.8442
93,0,1,0,1,1,1,0,1,0.952,0.8503,0.2614,0.8218,0.8344,0.615,66399.6647,15726.5498,0.8428
94,0,1,0,1,1,1,1,0,0.9474,0.8524,0.2628,0.8003,0.8322,0.6224,66298.5762,15874.1816,0.818
95,0,1,0,1,1,1,1,1,0.9429,0.8492,0.2525,0.7942,0.8199,0.6228,67806.0413,15897.9414,0.8099
96,0,1,1,0,0,0,0,0,0.9565,0.7048,0.2814,0.8289,0.8481,0.2945,106309.3333,16165.4072,0.8567
97,0,1,1,0,0,0,0,1,0.9553,0.7108,0.282,0.8284,0.8473,0.2952,104427.5414,15989.3652,0.856
98,0,1,1,0,0,0,1,0,0.9535,0.7284,0.2832,0.8173,0.85,0.3057,101036.4165,16122.2686,0.8413
99,0,1,1,0,0,0,1,1,0.9523,0.7143,0.2867,0.8166,0.8494,0.3001,104235.1151,15943.3701,0.8411
100,0,1,1,0,0,1,0,0,0.9568,0.7031,0.272,0.8259,0.8466,0.2938,106646.4915,16535.6641,0.851
101,0,1,1,0,0,1,0,1,0.9515,0.6967,0.26,0.8195,0.8321,0.2941,107532.9802,16509.0879,0.8454
102,0,1,1,0,0,1,1,0,0.9538,0.7231,0.2758,0.8192,0.8479,0.3012,102285.1447,16470.375,0.8432
103,0,1,1,0,0,1,1,1,0.947,0.714,0.2623,0.8068,0.8306,0.2952,104314.0318,16484.9551,0.8298
104,0,1,1,0,1,0,0,0,0.9571,0.7644,0.2757,0.8282,0.847,0.3262,92319.2861,16254.7783,0.85
105,0,1,1,0,1,0,0,1,0.9541,0.7654,0.2738,0.8243,0.8422,0.3318,91398.2441,16229.085,0.8451
106,0,1,1,0,1,0,1,0,0.9493,0.8158,0.2671,0.8059,0.8374,0.3878,80449.595,16309.6045,0.825
107,0,1,1,0,1,0,1,1,0.9473,0.8158,0.2662,0.8023,0.8332,0.3875,80463.2466,16273.0137,0.8209
108,0,1,1,0,1,1,0,0,0.9578,0.8654,0.2675,0.8277,0.8483,0.6242,62162.6499,16617.7598,0.8474
109,0,1,1,0,1,1,0,1,0.9527,0.8686,0.2536,0.8217,0.8351,0.634,60427.4341,16543.0449,0.8399
110,0,1,1,0,1,1,1,0,0.9479,0.8676,0.2561,0.8022,0.8326,0.6344,61430.4403,16667.1328,0.819
111,0,1,1,0,1,1,1,1,0.9431,0.8676,0.2455,0.7954,0.8202,0.6347,61592.4135,16653.6211,0.81
112,0,1,1,1,0,0,0,0,0.9574,0.7073,0.2813,0.8297,0.8503,0.2952,105350.5013,16677.8105,0.8573
113,0,1,1,1,0,0,0,1,0.9553,0.708,0.2782,0.8286,0.8458,0.2952,105197.8848,16666.0508,0.8561
114,0,1,1,1,0,0,1,0,0.9551,0.7298,0.286,0.8212,0.8526,0.3075,100306.5057,16597.7461,0.846
115,0,1,1,1,0,0,1,1,0.9548,0.727,0.2888,0.8197,0.8527,0.305,101363.6116,16479.3301,0.8455
116,0,1,1,1,0,1,0,0,0.9566,0.7041,0.2714,0.8268,0.845,0.2934,106495.3502,16974.498,0.8547
117,0,1,1,1,0,1,0,1,0.953,0.7076,0.2599,0.8221,0.8336,0.2945,105260.188,17000.9023,0.8487
118,0,1,1,1,0,1,1,0,0.9534,0.7122,0.2704,0.8151,0.8436,0.2955,104681.55,17049.0469,0.8423
119,0,1,1,1,0,1,1,1,0.946,0.7108,0.2568,0.8,0.8271,0.2945,104780.8101,17017.7207,0.8199
120,0,1,1,1,1,0,0,0,0.9574,0.7647,0.2765,0.8293,0.8474,0.3315,91556.3648,16729.5352,0.8513
121,0,1,1,1,1,0,0,1,0.9548,0.7654,0.2744,0.8274,0.8429,0.3318,91511.3091,16705.9922,0.8494
122,0,1,1,1,1,0,1,0,0.9487,0.8158,0.2681,0.8053,0.8363,0.3875,80456.349,16781.6328,0.824
123,0,1,1,1,1,0,1,1,0.9462,0.8158,0.2655,0.8014,0.8316,0.3871,80463.2475,16763.9707,0.8193
124,0,1,1,1,1,1,0,0,0.9579,0.8647,0.2699,0.8259,0.8472,0.6238,62376.5886,17022.2383,0.8461
125,0,1,1,1,1,1,0,1,0.9535,0.8647,0.2569,0.8235,0.8343,0.6245,62296.9831,17085.0059,0.8427
126,0,1,1,1,1,1,1,0,0.95,0.8672,0.26,0.8038,0.8346,0.634,61477.4645,17187.793,0.8224
127,0,1,1,1,1,1,1,1,0.9442,0.8672,0.2487,0.7955,0.82,0.6344,61475.7536,17212.9102,0.8112
128,1,0,0,0,0,0,0,0,0.9554,0.6995,0.2837,0.8262,0.8476,0.2931,107548.0945,14985.3057,0.8529
129,1,0,0,0,0,0,0,1,0.9527,0.7045,0.2857,0.8242,0.8441,0.2941,106376.1024,14800.3525,0.8526
130,1,0,0,0,0,0,1,0,0.9527,0.7217,0.286,0.8148,0.8491,0.3022,102274.3561,14893.21,0.8391
131,1,0,0,0,0,0,1,1,0.9499,0.714,0.2904,0.812,0.8464,0.2952,104227.4385,14706.3213,0.8386
132,1,0,0,0,0,1,0,0,0.9552,0.6943,0.2757,0.825,0.8448,0.292,108440.4993,15264.7793,0.8534
133,1,0,0,0,0,1,0,1,0.9496,0.6862,0.2629,0.8177,0.8296,0.2924,110066.6682,15271.1836,0.8457
134,1,0,0,0,0,1,1,0,0.9509,0.7126,0.2771,0.8126,0.843,0.2955,104787.4573,15210.5605,0.8385
135,1,0,0,0,0,1,1,1,0.946,0.7126,0.2653,0.8041,0.8306,0.2945,104512.8292,15212.8291,0.8249
136,1,0,0,0,1,0,0,0,0.957,0.7644,0.2817,0.8304,0.8483,0.3262,92220.0705,15015.8848,0.8536
137,1,0,0,0,1,0,0,1,0.9537,0.7647,0.2806,0.8261,0.8438,0.3262,92234.2739,14929.2646,0.8485
138,1,0,0,0,1,0,1,0,0.9492,0.8123,0.2743,0.805,0.8386,0.3871,81236.7844,15039.5391,0.8244
139,1,0,0,0,1,0,1,1,0.9471,0.8116,0.274,0.8033,0.8354,0.3871,81293.2796,14955.6748,0.8226
