,"('CV1', 'day')","('CV1', 'night')","('CV6', 'day')","('CV6', 'night')","('CV12', 'day')","('CV12', 'night')","('V_TR', 'day')","('V_TR', 'night')",1,2,3,4,5,6,7,8,9
106,0,1,1,0,1,0,1,0,0.9507,0.8027,0.2736,0.8011,0.833,0.3625,85755.9239,16376.4199,0.8266
107,0,1,1,0,1,0,1,1,0.947,0.8024,0.2678,0.7988,0.8261,0.3614,86569.0848,16374.6045,0.8231
108,0,1,1,0,1,1,0,0,0.9556,0.8316,0.2738,0.8157,0.8394,0.5815,77302.2793,16303.1846,0.8422
109,0,1,1,0,1,1,0,1,0.9529,0.8316,0.262,0.8165,0.8295,0.5815,77298.558,16464.873,0.8429
110,0,1,1,0,1,1,1,0,0.9458,0.8436,0.2614,0.7907,0.8242,0.6044,72112.3694,16647.8984,0.8117
111,0,1,1,0,1,1,1,1,0.9432,0.8521,0.2524,0.788,0.8137,0.6051,68178.8084,16696.8887,0.8079
112,0,1,1,1,0,0,0,0,0.9573,0.69,0.2892,0.826,0.8445,0.2645,112848.4452,16651.5332,0.8665
113,0,1,1,1,0,0,0,1,0.9519,0.6784,0.2854,0.82,0.8348,0.2642,115596.9315,16567.7207,0.8601
114,0,1,1,1,0,0,1,0,0.9538,0.7126,0.2894,0.8071,0.8436,0.2733,107848.7094,16676.543,0.8362
115,0,1,1,1,0,0,1,1,0.9517,0.715,0.2886,0.806,0.8402,0.2765,105823.9341,16553.9609,0.8348
116,0,1,1,1,0,1,0,0,0.9511,0.6978,0.2756,0.8115,0.8293,0.2681,110224.5019,16858.5059,0.8539
117,0,1,1,1,0,1,0,1,0.946,0.6897,0.2612,0.8053,0.8151,0.2628,112101.8968,16833.2617,0.843
118,0,1,1,1,0,1,1,0,0.9511,0.7133,0.2773,0.8012,0.8356,0.2733,107025.4252,17023.6406,0.8282
119,0,1,1,1,0,1,1,1,0.9455,0.715,0.2628,0.7933,0.8204,0.2744,106603.1819,17026.1445,0.8178
120,0,1,1,1,1,0,0,0,0.9538,0.7425,0.2799,0.817,0.8344,0.2998,100963.647,16594.0996,0.8465
121,0,1,1,1,1,0,0,1,0.9519,0.7341,0.2775,0.8176,0.8314,0.2892,106077.5325,16576.6016,0.8463
122,0,1,1,1,1,0,1,0,0.9498,0.8024,0.2738,0.7999,0.8314,0.3614,86473.4967,16894.541,0.825
123,0,1,1,1,1,0,1,1,0.9496,0.8024,0.2741,0.8013,0.8308,0.3614,86534.8745,16825.0156,0.8272
124,0,1,1,1,1,1,0,0,0.9578,0.8309,0.2782,0.8189,0.8425,0.5791,77512.5363,16666.3379,0.8464
125,0,1,1,1,1,1,0,1,0.9519,0.832,0.263,0.8142,0.8266,0.5826,77136.5132,16867.8906,0.8401
126,0,1,1,1,1,1,1,0,0.9473,0.8552,0.2648,0.7927,0.8253,0.6076,66161.6613,17211.8906,0.8151
127,0,1,1,1,1,1,1,1,0.9431,0.8535,0.2534,0.786,0.812,0.6058,66745.5738,17203.9531,0.8065
128,1,0,0,0,0,0,0,0,0.9517,0.696,0.2905,0.8176,0.8356,0.2673,110497.2765,14939.9375,0.8641
129,1,0,0,0,0,0,0,1,0.9489,0.6967,0.2867,0.8148,0.8303,0.2673,110479.239,14864.4824,0.8583
130,1,0,0,0,0,0,1,0,0.951,0.7214,0.2911,0.8039,0.8403,0.2758,104863.3456,14942.9658,0.8319
131,1,0,0,0,0,0,1,1,0.9494,0.7193,0.2928,0.8043,0.8386,0.2754,105275.7474,14781.7197,0.832
132,1,0,0,0,0,1,0,0,0.9486,0.6939,0.278,0.8075,0.8263,0.267,110974.4011,15207.7354,0.849
133,1,0,0,0,0,1,0,1,0.9464,0.6932,0.2674,0.8092,0.8167,0.267,111023.9883,15219.1826,0.8518
134,1,0,0,0,0,1,1,0,0.9489,0.7105,0.2835,0.7987,0.8353,0.2723,108407.5904,15223.2695,0.8246
135,1,0,0,0,0,1,1,1,0.9474,0.7091,0.2738,0.8015,0.8269,0.2712,108952.4978,15214.2031,0.8283
