,"('V_CO', 'day')","('V_CO', 'night')","('V_G1', 'day')","('V_G1', 'night')","('V_G2', 'day')","('V_G2', 'night')","('V_G3', 'day')","('V_G3', 'night')",1,2,3,4,5,6,7,8,9
94,0,1,0,1,1,1,1,0,0.9189,0.8218,0.2629,0.7446,0.7766,0.5882,80385.4194,16252.626,0.7492
95,0,1,0,1,1,1,1,1,0.919,0.8218,0.2616,0.7451,0.7747,0.5882,80367.3392,16235.249,0.7504
96,0,1,1,0,0,0,0,0,0.8895,0.8108,0.2612,0.7157,0.77,0.6066,88624.6865,17069.3184,0.7326
97,0,1,1,0,0,0,0,1,0.9097,0.8404,0.2624,0.7246,0.774,0.6097,72292.3402,16953.1426,0.7353
98,0,1,1,0,0,0,1,0,0.8942,0.7577,0.2576,0.7297,0.7652,0.5111,111031.601,16693.541,0.7427
99,0,1,1,0,0,0,1,1,0.915,0.8225,0.2596,0.7404,0.7704,0.5893,80188.9143,16337.0303,0.7462
100,0,1,1,0,0,1,0,0,0.9118,0.8404,0.2642,0.7251,0.778,0.6097,72392.5358,16954.5527,0.735
101,0,1,1,0,0,1,0,1,0.911,0.8404,0.2626,0.7246,0.7753,0.6097,72406.6206,16937.3301,0.7344
102,0,1,1,0,0,1,1,0,0.9176,0.8221,0.2619,0.7423,0.7751,0.5893,80309.2319,16338.0576,0.7479
103,0,1,1,0,0,1,1,1,0.9168,0.8225,0.2604,0.7417,0.7725,0.5893,80292.8481,16338.0176,0.7472
104,0,1,1,0,1,0,0,0,0.8953,0.7559,0.2575,0.7314,0.7656,0.5072,111809.8159,16780.1348,0.7441
105,0,1,1,0,1,0,0,1,0.9156,0.8228,0.2595,0.7397,0.7702,0.5879,79717.1183,16320.2803,0.7444
106,0,1,1,0,1,0,1,0,0.8957,0.7566,0.2572,0.7332,0.7651,0.5111,111416.7872,16694.3809,0.7455
107,0,1,1,0,1,0,1,1,0.9153,0.771,0.2583,0.7403,0.7683,0.5125,103009.3381,16269.2559,0.7448
