,"('V_CO', 'day')","('V_CO', 'night')","('V_MV1', 'day')","('V_MV1', 'night')","('V_MV2', 'day')","('V_MV2', 'night')","('CV7', 'day')","('CV7', 'night')","('CV9', 'day')","('CV9', 'night')",1,2,3,4,5,6,7,8,9
66,0,0,0,1,0,0,0,0,1,0,0.8359,0.6608,0.3355,0.6173,0.6602,0.3839,148661.1602,15206.0664,0.568
67,0,0,0,1,0,0,0,0,1,1,0.8363,0.6608,0.3358,0.6173,0.6611,0.3839,148660.3802,15188.3115,0.568
68,0,0,0,1,0,0,0,1,0,0,0.8374,0.6724,0.3325,0.6197,0.6631,0.4104,143630.0697,15240.1406,0.5706
69,0,0,0,1,0,0,0,1,0,1,0.8371,0.6608,0.3328,0.6193,0.6629,0.3839,148666.0261,15240.1572,0.5704
70,0,0,0,1,0,0,0,1,1,0,0.8373,0.6626,0.3326,0.6195,0.6632,0.3857,148073.3204,15240.1406,0.5707
71,0,0,0,1,0,0,0,1,1,1,0.8371,0.6608,0.3327,0.6195,0.663,0.3839,148661.0553,15240.1553,0.5707
72,0,0,0,1,0,0,1,0,0,0,0.8532,0.6647,0.3335,0.6237,0.6589,0.3818,143448.2822,15206.0684,0.5913
73,0,0,0,1,0,0,1,0,0,1,0.8545,0.6791,0.3342,0.626,0.6611,0.3927,139882.5512,15195.1621,0.5931
74,0,0,0,1,0,0,1,0,1,0,0.8537,0.6636,0.3338,0.6251,0.6596,0.3822,143971.1427,15206.5605,0.5928
75,0,0,0,1,0,0,1,0,1,1,0.8545,0.6798,0.3341,0.6261,0.661,0.3927,139763.6446,15198.2256,0.5931
76,0,0,0,1,0,0,1,1,0,0,0.8541,0.6647,0.3301,0.6247,0.6611,0.3917,144055.8155,15205.8389,0.5927
77,0,0,0,1,0,0,1,1,0,1,0.8539,0.653,0.3302,0.6245,0.6607,0.3575,150138.7227,15205.8584,0.5928
78,0,0,0,1,0,0,1,1,1,0,0.8547,0.671,0.3304,0.6261,0.6618,0.3882,142910.724,15205.8438,0.5938
79,0,0,0,1,0,0,1,1,1,1,0.8542,0.6788,0.3302,0.625,0.661,0.3917,140473.5274,15205.8574,0.593
80,0,0,0,1,0,1,0,0,0,0,0.8358,0.6608,0.3356,0.6172,0.6601,0.3839,148670.2819,15206.0908,0.5678
81,0,0,0,1,0,1,0,0,0,1,0.8381,0.6939,0.3335,0.6205,0.6639,0.428,137144.6717,15240.2236,0.5704
82,0,0,0,1,0,1,0,0,1,0,0.8359,0.6636,0.3358,0.6176,0.6604,0.3956,147366.8668,15206.0889,0.5679
83,0,0,0,1,0,1,0,0,1,1,0.837,0.6608,0.3331,0.6193,0.6628,0.3839,148663.7908,15240.2227,0.5704
84,0,0,0,1,0,1,0,1,0,0,0.8371,0.664,0.3328,0.6193,0.663,0.3892,147057.5613,15240.1621,0.5705
85,0,0,0,1,0,1,0,1,0,1,0.8371,0.6597,0.3323,0.6194,0.663,0.3853,148421.5918,15240.1318,0.5704
86,0,0,0,1,0,1,0,1,1,0,0.837,0.6418,0.3326,0.6191,0.6628,0.3723,153476.6911,15240.1611,0.5702
87,0,0,0,1,0,1,0,1,1,1,0.8372,0.6608,0.3323,0.6194,0.663,0.3839,148739.4287,15240.1289,0.5706
88,0,0,0,1,0,1,1,0,0,0,0.8543,0.6619,0.3341,0.6265,0.6605,0.392,145643.8437,15206.0898,0.593
89,0,0,0,1,0,1,1,0,0,1,0.8549,0.6774,0.3309,0.6269,0.662,0.3927,140578.6156,15215.8613,0.5944
90,0,0,0,1,0,1,1,0,1,0,0.851,0.3255,0.3327,0.6216,0.6572,0.1014,243216.9248,15206.0869,0.5927
91,0,0,0,1,0,1,1,0,1,1,0.8538,0.6051,0.3304,0.6247,0.6609,0.3005,164867.4125,15223.082,0.593
92,0,0,0,1,0,1,1,1,0,0,0.8545,0.6728,0.3306,0.6257,0.6622,0.3857,142358.4704,15205.8662,0.5928
93,0,0,0,1,0,1,1,1,0,1,0.8545,0.677,0.3298,0.6256,0.6616,0.3927,140608.1673,15211.2793,0.593
94,0,0,0,1,0,1,1,1,1,0,0.854,0.6664,0.3303,0.6247,0.6608,0.3818,142970.7351,15205.8604,0.5929
95,0,0,0,1,0,1,1,1,1,1,0.8542,0.6784,0.3297,0.625,0.6612,0.3927,140673.8704,15205.8311,0.593
96,0,0,0,1,1,0,0,0,0,0,0.8358,0.6615,0.3358,0.6171,0.6601,0.3846,148351.5708,15206.0723,0.5677
97,0,0,0,1,1,0,0,0,0,1,0.8361,0.6608,0.3362,0.6171,0.661,0.3839,148568.6824,15188.3105,0.5676
98,0,0,0,1,1,0,0,0,1,0,0.8593,0.6678,0.333,0.6264,0.6593,0.3822,142508.8076,15206.0703,0.5995
99,0,0,0,1,1,0,0,0,1,1,0.8604,0.6569,0.3339,0.6283,0.6612,0.3811,146247.3696,15188.3096,0.6009
100,0,0,0,1,1,0,0,1,0,0,0.839,0.7112,0.3339,0.6242,0.6658,0.4477,129478.5277,15256.1084,0.5744
101,0,0,0,1,1,0,0,1,0,1,0.8371,0.6608,0.3332,0.6192,0.6629,0.3839,148555.9098,15240.1611,0.5704
102,0,0,0,1,1,0,0,1,1,0,0.8613,0.6678,0.3305,0.6298,0.663,0.3822,142501.0834,15210.9297,0.6031
103,0,0,0,1,1,0,0,1,1,1,0.8604,0.6752,0.3302,0.6279,0.6616,0.3882,140899.7096,15205.8623,0.6012
104,0,0,0,1,1,0,1,0,0,0,0.8541,0.6795,0.3341,0.626,0.6601,0.3927,139529.2881,15215.9814,0.593
105,0,0,0,1,1,0,1,0,0,1,0.854,0.6664,0.3345,0.6247,0.6602,0.3818,142808.1729,15169.1885,0.5925
106,0,0,0,1,1,0,1,0,1,0,0.8607,0.6414,0.3331,0.6278,0.6598,0.3663,151863.7992,15206.0645,0.6018
